mode,threshold,variant,total_return_%,CAGR_%,max_drawdown_%,switches,days_in_SPY
长期rank(p1),0.3,SPY↔TLT,-23.45,-5.74,-34.93,48,157
长期rank(p1),0.3,SPY↔现金,18.8,3.89,-1.94,48,157
长期rank(p1),0.4,SPY↔TLT,-17.64,-4.2,-34.93,65,290
长期rank(p1),0.4,SPY↔现金,15.7,3.28,-8.34,65,290
长期rank(p1),0.5,SPY↔TLT,-23.0,-5.62,-35.16,103,462
长期rank(p1),0.5,SPY↔现金,10.27,2.19,-14.92,103,462
长期rank(p1),0.6,SPY↔TLT,1.42,0.31,-35.59,90,641
长期rank(p1),0.6,SPY↔现金,25.44,5.15,-9.3,90,641
长期rank(p1),0.7,SPY↔TLT,-6.02,-1.36,-39.35,90,783
长期rank(p1),0.7,SPY↔现金,25.69,5.19,-17.19,90,783
长期rank(p1),0.8,SPY↔TLT,0.51,0.11,-36.15,52,908
长期rank(p1),0.8,SPY↔现金,44.98,8.57,-17.19,52,908
长期rank(p1),0.9,SPY↔TLT,3.97,0.87,-41.52,34,1032
长期rank(p1),0.9,SPY↔现金,26.96,5.43,-34.28,34,1032
长期rank(p1),0.95,SPY↔TLT,26.15,5.28,-29.19,30,1104
长期rank(p1),0.95,SPY↔现金,37.54,7.31,-28.16,30,1104
短期rank(p2),0.3,SPY↔TLT,-2.47,-0.55,-33.48,134,431
短期rank(p2),0.3,SPY↔现金,24.68,5.0,-14.33,134,431
短期rank(p2),0.4,SPY↔TLT,3.42,0.75,-31.37,116,512
短期rank(p2),0.4,SPY↔现金,29.7,5.93,-15.64,116,512
短期rank(p2),0.5,SPY↔TLT,11.95,2.53,-27.58,110,591
短期rank(p2),0.5,SPY↔现金,42.16,8.1,-16.04,110,591
短期rank(p2),0.6,SPY↔TLT,5.14,1.12,-33.57,120,670
短期rank(p2),0.6,SPY↔现金,30.64,6.09,-20.84,120,670
短期rank(p2),0.7,SPY↔TLT,37.99,7.39,-27.86,118,757
短期rank(p2),0.7,SPY↔现金,60.47,11.04,-19.26,118,757
短期rank(p2),0.8,SPY↔TLT,20.27,4.17,-31.96,126,837
短期rank(p2),0.8,SPY↔现金,44.84,8.55,-24.63,126,837
短期rank(p2),0.9,SPY↔TLT,13.28,2.8,-34.07,118,943
短期rank(p2),0.9,SPY↔现金,30.78,6.12,-25.7,118,943
短期rank(p2),0.95,SPY↔TLT,23.94,4.86,-30.32,92,1020
短期rank(p2),0.95,SPY↔现金,44.44,8.48,-24.08,92,1020
阴阳yyi(0.7p2+0.15p1+0.15p3),0.3,SPY↔TLT,-10.49,-2.42,-34.48,139,342
阴阳yyi(0.7p2+0.15p1+0.15p3),0.3,SPY↔现金,18.96,3.92,-9.58,139,342
阴阳yyi(0.7p2+0.15p1+0.15p3),0.4,SPY↔TLT,6.68,1.44,-30.32,118,485
阴阳yyi(0.7p2+0.15p1+0.15p3),0.4,SPY↔现金,36.65,7.16,-11.52,118,485
阴阳yyi(0.7p2+0.15p1+0.15p3),0.5,SPY↔TLT,2.56,0.56,-33.67,110,599
阴阳yyi(0.7p2+0.15p1+0.15p3),0.5,SPY↔现金,34.93,6.86,-18.06,110,599
阴阳yyi(0.7p2+0.15p1+0.15p3),0.6,SPY↔TLT,26.14,5.27,-28.02,118,709
阴阳yyi(0.7p2+0.15p1+0.15p3),0.6,SPY↔现金,45.5,8.65,-18.62,118,709
阴阳yyi(0.7p2+0.15p1+0.15p3),0.7,SPY↔TLT,19.73,4.07,-31.96,124,834
阴阳yyi(0.7p2+0.15p1+0.15p3),0.7,SPY↔现金,44.55,8.5,-24.63,124,834
阴阳yyi(0.7p2+0.15p1+0.15p3),0.8,SPY↔TLT,27.23,5.47,-33.3,96,991
阴阳yyi(0.7p2+0.15p1+0.15p3),0.8,SPY↔现金,47.16,8.93,-24.19,96,991
阴阳yyi(0.7p2+0.15p1+0.15p3),0.9,SPY↔TLT,58.04,10.66,-25.36,0,1133
阴阳yyi(0.7p2+0.15p1+0.15p3),0.9,SPY↔现金,58.04,10.66,-25.36,0,1133
阴阳yyi(0.7p2+0.15p1+0.15p3),0.95,SPY↔TLT,58.04,10.66,-25.36,0,1133
阴阳yyi(0.7p2+0.15p1+0.15p3),0.95,SPY↔现金,58.04,10.66,-25.36,0,1133
长期rank(p1),0.95,SPY↔现金,37.54,7.31,-28.16,30,1104
短期rank(p2),0.7,SPY↔现金,60.47,11.04,-19.26,118,757
阴阳yyi(0.7p2+0.15p1+0.15p3),0.9,SPY↔现金,58.04,10.66,-25.36,0,1133
