group,config,rank_mode,threshold,total_return_%,CAGR_%,max_drawdown_%,trades,final_balance,spike_metric,spike_thr,fall_days
阴阳指数,短期p2,p2,0.6,23.57,4.78,-26.23,123,1235716.0,,,
阴阳指数,短期p2,p2,0.7,48.16,9.06,-20.52,125,1481567.0,,,
阴阳指数,短期p2,p2,0.8,43.71,8.33,-22.6,129,1437131.0,,,
阴阳指数,短期p2,p2,0.9,30.49,6.05,-24.5,125,1304944.0,,,
阴阳指数,长期p1,p1,0.6,23.25,4.72,-9.39,91,1232496.0,,,
阴阳指数,长期p1,p1,0.7,24.57,4.97,-18.16,89,1245744.0,,,
阴阳指数,长期p1,p1,0.8,37.25,7.24,-18.92,53,1372507.0,,,
阴阳指数,长期p1,p1,0.9,30.64,6.07,-40.97,37,1306354.0,,,
阴阳指数,阴阳yyi,yyi,0.6,37.2,7.23,-20.58,117,1371954.0,,,
阴阳指数,阴阳yyi,yyi,0.7,45.18,8.57,-22.6,127,1451772.0,,,
阴阳指数,阴阳yyi,yyi,0.8,37.63,7.3,-31.32,97,1376270.0,,,
阴阳指数,阴阳yyi,yyi,0.9,57.68,10.57,-25.67,1,1576810.0,,,
恐慌反转,panic_z2.0_f2,panic_reversal,,25.76,5.19,-37.96,73,1257564.0,z,2.0,2.0
恐慌反转,panic_z2.5_f2,panic_reversal,,52.01,9.68,-25.81,55,1520149.0,z,2.5,2.0
恐慌反转,panic_z2.5_f3,panic_reversal,,52.52,9.76,-25.81,55,1525215.0,z,2.5,3.0
恐慌反转,panic_z3.0_f3,panic_reversal,,48.5,9.12,-25.67,31,1485046.0,z,3.0,3.0
恐慌反转,panic_lv28_f2,panic_reversal,,36.25,7.06,-33.56,51,1362526.0,level,28.0,2.0
恐慌反转,panic_lv30_f2,panic_reversal,,44.37,8.44,-30.74,39,1443738.0,level,30.0,2.0
恐慌反转,panic_lv30_f3,panic_reversal,,42.37,8.11,-32.74,33,1423664.0,level,30.0,3.0
恐慌反转,panic_lv35_f3,panic_reversal,,40.84,7.85,-27.9,9,1408397.0,level,35.0,3.0
